Invoice #,Invoice date,Payer,Referral #,Materials,Labor,Subtotal,Sales Tax,Gross Sales
452-799636,2020-01-06,AMERICAN FAMILY,931729,171.3,85.1,256.4,13.36,269.76
452-799634,2020-01-06,AMERICAN FAMILY,960960,174.1,129.5,303.6,13.58,317.18
452-799218,2020-01-06,GEICO,945004,320.53,124,444.53,25,469.53
452-799216,2020-01-06,PROGRESSIVE,866901,441,295,736,34.4,770.4
452-799126,2020-01-06,STATEFARM,550720928,491.56,132.6,624.16,38.34,662.5
452-799123,2020-01-06,ALLSTATE,901058,349.82,133,482.82,27.29,510.11
452-799108,2020-01-06,BRISTOL WEST,550876723,356.12,108.5,464.62,27.78,492.4
452-799098,2020-01-06,STATEFARM,550830960,1032.09,467,1499.09,80.5,1579.59
452-799091,2020-01-06,STATEFARM,550886362,571.09,120.9,691.99,44.55,736.54
452-798091,2020-01-06,STATEFARM,550808523,398.63,132.6,531.23,31.09,562.32
452-798088,2020-01-06,STATEFARM,550819320,855.89,132.6,988.49,66.76,1055.25
452-798082,2020-01-06,MeTLife,232707,359.69,715.5,1075.19,28.05,1103.24
452-798079,2020-01-06,STATEFARM,550841415,304.67,128.69,433.36,23.77,457.13
452-798064,2020-01-06,PROGRESSIVE,763265,655.99,1476.65,2132.64,51.16,2183.8
452-798061,2020-01-06,PROGRESSIVE,759998,892.04,971.49,1863.53,69.59,1933.12
452-798057,2020-01-06,Cash Job,,87.91,190.23,278.14,6.86,285
452-798056,2020-01-06,GEICO,879914,222.51,124,346.51,17.36,363.87
452-797329,2020-01-06,PROGRESSIVE,956357,626.83,149.46,776.29,48.89,825.18
452-797221,2020-01-06,Encompass,917259,223.81,126,349.81,17.46,367.27
452-797219,2020-01-06,Encompass,899374,214.62,133,347.62,16.74,364.36
452-797102,2020-01-06,STATEFARM,550801111,495.29,128.7,623.99,38.63,662.62
452-797072,2020-01-06,Country Financial ,550806202,452.63,100,552.63,35.31,587.94
452-797070,2020-01-06,accc,,81.85,136.77,218.62,6.38,225
452-796445,2020-01-06,GEICO,215520,351.67,124,475.67,27.43,503.1
452-796443,2020-01-06,Cash Job,,92.08,260.74,352.82,7.18,360
452-796442,2020-01-06,Cash Job,,219.63,388.24,607.87,17.13,625
452-796441,2020-01-06,AMERICAN FAMILY,153294,233.59,96.2,329.79,18.22,348.01
452-794816,2020-01-06,IDAHO FARM BUREAN INS ,868400,484.36,495,979.36,37.78,1017.14
452-793592,2020-01-06,AMERICAN FAMILY,121893,617.75,733.2,1350.95,48.18,1399.13
452-793591,2020-01-06,USAA,845003,500.15,112,612.15,39.01,651.16
452-793112,2020-01-06,PROGRESSIVE,828354,789.36,510,1299.36,61.57,1360.93
452-790358,2020-01-06,STATEFARM,550494294,423.6,117,540.6,33.04,573.64
452-790353,2020-01-06,GEICO,760272,803.02,116.01,919.03,62.63,981.66
452-775563,2020-01-06,AMERICAN FAMILY,506467,1577.74,766.49,2344.23,123.07,2467.3
452-801495,2020-01-07,STATEFARM,550935479,451.92,120.9,572.82,35.25,608.07
452-801436,2020-01-07,PEKIN,993240,463.96,156,619.96,36.19,656.15
452-801430,2020-01-07,PEKIN,925813,522.74,171.99,694.73,40.78,735.51
452-801426,2020-01-07,PROGRESSIVE,966874,1404.11,334.43,1738.54,109.52,1848.06
452-800037,2020-01-07,State Auto ,972942,363.38,91.99,455.37,28.35,483.72
452-800033,2020-01-07,GEICO,967850,327.74,131.99,459.73,25.57,485.3
452-800032,2020-01-07,STATEFARM,550911812,308.07,113.1,421.17,24.03,445.2
452-799225,2020-01-07,STATEFARM,550894896,336.45,120.9,457.35,26.24,483.59
452-799120,2020-01-07,Cash Job,,85.83,257.48,343.31,6.69,350
452-799117,2020-01-07,STATEFARM,550871527,563.4,128.7,692.1,43.95,736.05
452-798093,2020-01-07,SAFECO,900645,522.69,253.62,776.31,40.77,817.08
452-798075,2020-01-07,AMERICAN FAMILY,932717,418.1,135.92,554.02,32.61,586.63
452-794658,2020-01-07,ALLSTATE,832532,690.15,171.5,861.65,53.83,915.48
452-787409,2020-01-07,MIKE  GILES ,,59.45,100.91,160.36,4.64,165
452-804210,2020-01-08,Mutual Of Enumclaw,873331,0,600,600,0,600
452-803230,2020-01-08,Kemper,069375,352.92,92,444.92,27.53,472.45
452-802955,2020-01-08,AMERICAN FAMILY,077663,575.35,99.9,675.25,44.88,720.13
452-802906,2020-01-08,GEICO,955683,264.88,119.99,384.87,20.67,405.54
452-802860,2020-01-08,ALLSTATE,995205,473.34,122.5,595.84,36.92,632.76
452-802854,2020-01-08,STATEFARM,550968105,349.81,120.91,470.72,27.28,498
452-802843,2020-01-08,Cash Job,,59.4,200.97,260.37,4.63,265
452-802799,2020-01-08,USAA,932856,228.29,152,380.29,17.81,398.1
452-802788,2020-01-08,AUTO OWNERS ,551049901,203.02,125,328.02,15.84,343.86
452-801722,2020-01-08,TRAVELERS,054385,1837.46,450,2287.46,143.32,2430.78
452-801524,2020-01-08,ALLSTATE,963752,286.37,168.01,454.38,22.33,476.71
452-801488,2020-01-08,STATEFARM,550949585,286.82,240.9,527.72,22.37,550.09
452-801470,2020-01-08,USAA,897746,519.03,208,727.03,40.48,767.51
452-801455,2020-01-08,USAA,856219,210.29,171.99,382.28,16.41,398.69
452-801393,2020-01-08,ALLSTATE,918674,491.15,182,673.15,38.31,711.46
452-800031,2020-01-08,GEICO,965785,235.88,92,327.88,18.4,346.28
452-804278,2020-01-09,GEICO,954503,365.65,716,1081.65,28.52,1110.17
452-804049,2020-01-09,STATEFARM,551100966,478.35,128.7,607.05,37.31,644.36
452-803606,2020-01-09,EMC,053399,299.15,127.99,427.14,23.34,450.48
452-803233,2020-01-09,TRAVELERS,078102,1560.04,812.5,2372.54,121.68,2494.22
452-802796,2020-01-09,Mutual Of Enumclaw,069910,342.35,101.5,443.85,26.7,470.55
452-802784,2020-01-09,FARMERS,933207,154.57,143.55,298.12,12.06,310.18
452-801533,2020-01-09,ALLSTATE,963685,278.38,133,411.38,21.71,433.09
452-801510,2020-01-09,ACUITY,971906,1122.41,743.51,1865.92,87.54,1953.46
452-801498,2020-01-09,GEICO,931015,379.78,772,1151.78,29.62,1181.4
452-801375,2020-01-09,USAA,633025,298.95,144,442.95,23.32,466.27
452-794423,2020-01-09,Mutual Of Enumclaw,133053,502.66,112,614.66,39.21,653.87
452-806052,2020-01-10,AMERICAN FAMILY,931713,255.02,103.6,358.62,19.89,378.51
452-805500,2020-01-10,SAFECO,079466,443.85,196.92,640.77,34.62,675.39
452-805018,2020-01-10,SAFE AUTO ,067084,326.83,90,416.83,25.49,442.32
452-804582,2020-01-10,Cash Job,,46.2,0,46.2,3.6,49.8
452-804576,2020-01-10,STATEFARM,551112816,475.67,120.9,596.57,37.1,633.67
452-804313,2020-01-10,AMERICAN FAMILY,091295,495.04,144.29,639.33,38.62,677.95
452-804302,2020-01-10,ALLSTATE,972599,604.07,182.01,786.08,47.11,833.19
452-803232,2020-01-10,STATEFARM,551059982,320.56,152.1,472.66,25,497.66
452-803228,2020-01-10,PROGRESSIVE,972475,373.89,340,713.89,29.16,743.05
452-802070,2020-01-10,STATEFARM,551015241,782,159.9,941.9,61,1002.9
452-801506,2020-01-10,LIBERTY MUTUAL,963958,655.23,192.6,847.83,51.1,898.93
452-800038,2020-01-10,NATIONAL GENERAL INSURANCE,968273,1531.88,550,2081.88,119.49,2201.37
452-808050,2020-01-12,ALLSTATE,832532,0,600,600,0,600
452-807608,2020-01-12,BRISTOL WEST,551228563,340.86,155.05,495.91,26.59,522.5
452-807212,2020-01-12,SAFECO,117833,800.41,780.02,1580.43,62.43,1642.86
452-807099,2020-01-12,GEICO,325982,295.53,124,419.53,23.05,442.58
452-806902,2020-01-12,GEICO,950089,281.05,124,405.05,21.92,426.97
452-806890,2020-01-12,STATEFARM,551054182,687.99,279.9,967.89,53.66,1021.55
452-806888,2020-01-12,GEICO,111570,259.14,132,391.14,20.21,411.35
452-806886,2020-01-12,PROGRESSIVE,118625,589.28,263.5,852.78,45.96,898.74
452-806884,2020-01-12,PROGRESSIVE,120090,337.34,306,643.34,26.31,669.65
452-806057,2020-01-12,AMERICAN FAMILY,124311,478.89,722.1,1200.99,37.35,1238.34
452-806056,2020-01-12,Cash Job,,49.09,152.08,201.17,3.83,205
452-806055,2020-01-12,STATEFARM,551172649,324.7,152.11,476.81,25.32,502.13
452-806053,2020-01-12,SAFECO,110286,277.93,234.73,512.66,21.67,534.33
452-806049,2020-01-12,GEICO,990036,203.17,92,295.17,15.85,311.02
452-806047,2020-01-12,STATEFARM,551145919,283.16,156.01,439.17,22.08,461.25
452-806045,2020-01-12,PROGRESSIVE,079665,700.55,340,1040.55,54.64,1095.19
452-806044,2020-01-12,AUSTIN MUTUAL GROUP,100649,132.61,92.4,225.01,10.34,235.35
452-806042,2020-01-12,PEKIN,964422,418.66,92,510.66,32.66,543.32
452-806040,2020-01-12,Hartford,971359,250.44,180.45,430.89,19.53,450.42
452-805269,2020-01-12,USAA,074203,461.9,152.85,614.75,36.03,650.78
452-805236,2020-01-12,USAA,073980,507.88,1396,1903.88,39.61,1943.49
452-805231,2020-01-12,GEICO,052800,295.57,96,391.57,23.05,414.62
452-805227,2020-01-12,USAA,998156,298.77,593.15,891.92,23.3,915.22
452-805215,2020-01-12,GEICO,212052,321.55,96.64,418.19,25.09,443.28
452-804605,2020-01-12,AMERICAN FAMILY,102402,311.67,107.3,418.97,24.31,443.28
452-804565,2020-01-12,FARMERS,100649,307.32,71.28,378.6,23.97,402.57
452-804310,2020-01-12,STATEFARM,551101105,405.02,89.7,494.72,31.59,526.31
452-804305,2020-01-12,STATEFARM,551111550,162.2,85.8,248,12.65,260.65
452-803227,2020-01-12,GEICO,971728,230.4,121.14,351.54,17.97,369.51
452-802851,2020-01-12,GEICO,962694,428.58,144,572.58,33.43,606.01
452-802848,2020-01-12,SAFECO,945006,383.85,184.32,568.17,29.94,598.11
452-801475,2020-01-12,GEICO,943609,457.71,116,573.71,35.7,609.41
452-801404,2020-01-12,AMERICAN FAMILY,993828,461.37,748,1209.37,35.99,1245.36
452-800026,2020-01-12,USAA,,1647.69,670,2317.69,128.52,2446.21
452-799118,2020-01-12,PROGRESSIVE,204120515,1486.72,865.99,2352.71,115.97,2468.68
452-797239,2020-01-12,STATEFARM,550655255,342.18,136.5,478.68,26.69,505.37
452-792886,2020-01-12,STATEFARM,550627049,437.93,348.7,786.63,34.16,820.79
452-808006,2020-01-13,AMICA,158541,1508.1,720,2228.1,117.63,2345.73
452-807621,2020-01-13,TRAVELERS,143920,1498.3,720,2218.3,116.87,2335.17
452-810357,2020-01-14,FARMERS,100649,0,0,0,0,0
452-810348,2020-01-14,ALLSTATE,995205,0,600,600,0,600
452-809617,2020-01-14,TRAVELERS,180549,1482.81,860,2342.81,115.66,2458.47
452-807770,2020-01-14,STATEFARM,551236485,732.78,402.6,1135.38,57.16,1192.54
452-807740,2020-01-14,Mutual Of Enumclaw,151665,303.68,91,394.68,23.69,418.37
452-807680,2020-01-14,STATEFARM,551235144,635.07,551.7,1186.77,49.54,1236.31
452-807625,2020-01-14,STATEFARM,551231556,396.3,109.19,505.49,30.92,536.41
452-807615,2020-01-14,TRAVELERS,141314,1568.75,760,2328.75,122.36,2451.11
452-807604,2020-01-14,STATEFARM,551202726,225.23,214.51,439.74,17.56,457.3
452-806998,2020-01-14,STATEFARM,551215046,356.64,152.1,508.74,27.82,536.56
452-806983,2020-01-14,MARK BARBER,,59.4,120.97,180.37,4.63,185
452-806877,2020-01-14,STATEFARM,551198346,647.66,551.7,1199.36,50.52,1249.88
452-806871,2020-01-14,Cash Job,,46.2,175.2,221.4,3.6,225
452-805249,2020-01-14,GEICO,110555,288.03,104,392.03,22.47,414.5
452-805234,2020-01-14,ALLSTATE,071610,363,98,461,28.31,489.31
452-803615,2020-01-14,ALLSTATE,068417,268.37,136.5,404.87,20.93,425.8
452-803229,2020-01-14,USAA,993176,230.65,124,354.65,17.99,372.64
452-801537,2020-01-14,PROGRESSIVE,963197,610.4,263.5,873.9,47.61,921.51
452-801379,2020-01-14,Hartford,870427,293.44,105.01,398.45,22.88,421.33
452-812211,2020-01-15,USAA,224792,0,60,60,0,60
452-812116,2020-01-15,AAA,138294,0,600,600,0,600
452-811832,2020-01-15,Mutual Of Enumclaw,151665,0,600,600,0,600
452-811813,2020-01-15,Mutual Of Enumclaw,894254,0,600,600,0,600
452-811156,2020-01-15,STATEFARM,551372486,720.82,167.7,888.52,56.22,944.74
452-810585,2020-01-15,SAFECO,154845,834.42,748.52,1582.94,65.08,1648.02
452-809627,2020-01-15,GEICO,139429,174.76,116,290.76,13.63,304.39
452-809614,2020-01-15,USAA,151885,390.57,148.01,538.58,30.46,569.04
452-809184,2020-01-15,STATEFARM,551235160,361.68,144.3,505.98,28.21,534.19
452-809181,2020-01-15,SAFECO,776866,327.34,234.72,562.06,25.53,587.59
452-809147,2020-01-15,GEICO,482138,510.48,754,1264.48,39.82,1304.3
452-809118,2020-01-15,AMERICAN FAMILY,483583,368.33,103.6,471.93,28.73,500.66
452-809111,2020-01-15,STATEFARM,551276290,144.59,105.3,249.89,11.28,261.17
452-809103,2020-01-15,AMERICAN FAMILY,158872,398.38,159.1,557.48,31.07,588.55
452-809080,2020-01-15,PROGRESSIVE,356610,768.4,340.01,1108.41,59.93,1168.34
452-809068,2020-01-15,State Auto ,174404,363.38,91.99,455.37,28.35,483.72
452-809064,2020-01-15,AAA,160830,155.02,94.45,249.47,12.09,261.56
452-809051,2020-01-15,PROGRESSIVE,103601,328.95,227,555.95,25.66,581.61
452-808086,2020-01-15,STATEFARM,551243171,360.31,113.1,473.41,28.1,501.51
452-808004,2020-01-15,AAA,138294,486.29,129.5,615.79,37.93,653.72
452-807884,2020-01-15,Kemper,155217,157.96,88,245.96,12.32,258.28
452-807883,2020-01-15,Cash Job,,40.7,211.13,251.83,3.17,255
452-807881,2020-01-15,AMERICAN FAMILY,155180,275.1,114.7,389.8,21.46,411.26
452-807815,2020-01-15,STATEFARM,551238380,298.78,295.5,594.28,23.3,617.58
452-807805,2020-01-15,REBECCA MCPIKE,,157.7,165,322.7,12.3,335
452-807600,2020-01-15,PROGRESSIVE,118825,542.2,246.5,788.7,42.29,830.99
452-807194,2020-01-15,Safeway,1113768,218.69,100,318.69,17.06,335.75
452-806895,2020-01-15,PROGRESSIVE,988765,353.95,227,580.95,27.61,608.56
452-805464,2020-01-15,PROGRESSIVE,815955,835.8,297.49,1133.29,65.2,1198.49
452-805213,2020-01-15,USAA,900902,0,60,60,0,60
452-800025,2020-01-15,GEICO,817883,0,60,60,0,60
452-795749,2020-01-15,Mutual Of Enumclaw,894254,911.05,129.5,1040.55,71.06,1111.61
452-791848,2020-01-15,LIBERTY MUTUAL,764766,731.74,199.12,930.86,57.07,987.93
452-812296,2020-01-16,GEICO,129284,268.93,92,360.93,20.98,381.91
452-811800,2020-01-16,USAA,155322,317.85,124,441.85,24.79,466.64
452-811084,2020-01-16,ALLSTATE,154313,236.48,91,327.48,18.45,345.93
452-810339,2020-01-16,GEICO,151283,309.68,100,409.68,24.16,433.84
452-810309,2020-01-16,ALLSTATE,154177,267.01,91,358.01,20.83,378.84
452-809621,2020-01-16,SAFECO,144684,256.3,158.78,415.08,19.99,435.07
452-809611,2020-01-16,PROGRESSIVE,188572,638.77,524.5,1163.27,49.82,1213.09
452-809130,2020-01-16,BRISTOL WEST,551265493,364.4,108.49,472.89,28.43,501.32
452-809095,2020-01-16,ROOT,168218,169.29,108,277.29,13.2,290.49
452-808633,2020-01-16,Cash Job,,84.15,109.29,193.44,6.56,200
452-808002,2020-01-16,Cash Job,,176.27,159.97,336.24,13.76,350
452-796046,2020-01-16,GEICO,849277,163.98,156,319.98,12.79,332.77
452-777338,2020-01-16,STATEFARM,549696504,0,0,0,0,0
452-815117,2020-01-17,DAN DOBLANKO,,0,40,40,0,40
452-814879,2020-01-17,FARMERS,137372,0,600,600,0,600
452-812457,2020-01-17,PEKIN,218979,270,127.99,397.99,21.07,419.06
452-812338,2020-01-17,GEICO,126736,209.87,152,361.87,16.37,378.24
452-812207,2020-01-17,USAA,154430,288.73,124,412.73,22.52,435.25
452-812108,2020-01-17,Cash Job,,53.36,287.48,340.84,4.16,345
452-812105,2020-01-17,Cash Job,,58.63,281.8,340.43,4.57,345
452-812098,2020-01-17,Cash Job,,157.99,279.69,437.68,12.32,450
452-812068,2020-01-17,PROGRESSIVE,072584,378.4,280.51,658.91,29.51,688.42
452-811795,2020-01-17,PROGRESSIVE,072447,539.05,331.5,870.55,42.05,912.6
452-811062,2020-01-17,AMERICAN FAMILY,208930,398.38,159.1,557.48,31.07,588.55
452-811060,2020-01-17,GEICO,758589,311.9,256,567.9,24.33,592.23
452-811058,2020-01-17,GEICO,901379,558.17,760,1318.17,43.54,1361.71
452-811052,2020-01-17,USAA,481416,367.73,728,1095.73,28.69,1124.42
452-809391,2020-01-17,Cash Job,,59.45,130.91,190.36,4.64,195
452-809138,2020-01-17,FARMERS,137372,649.6,156.61,806.21,50.66,856.87
452-809126,2020-01-17,FARMERS,142143,301.12,165.3,466.42,23.49,489.91
452-809115,2020-01-17,STATEFARM,551276002,398.76,117,515.76,31.1,546.86
452-809109,2020-01-17,AMERICAN FAMILY,158736,290.63,88.8,379.43,22.67,402.1
452-809098,2020-01-17,PEKIN,159604,295.04,151.99,447.03,23.02,470.05
452-809055,2020-01-17,STATEFARM,551262753,557.26,120.9,678.16,43.47,721.63
452-809045,2020-01-17,STATEFARM,551265353,202.14,140.4,342.54,15.76,358.3
452-808638,2020-01-17,NATIONAL GENERAL INSURANCE,159820,1541.75,410,1951.75,120.26,2072.01
452-807781,2020-01-17,TRAVELERS,152264,1648.49,662.49,2310.98,128.59,2439.57
452-807779,2020-01-17,TRAVELERS,152131,1545.05,487.5,2032.55,120.51,2153.06
452-807765,2020-01-17,PROGRESSIVE,137621,820.25,289,1109.25,63.98,1173.23
452-806873,2020-01-17,WARRANTY,,0,0,0,0,0
452-816000,2020-01-19,GEICO,284606,0,60,60,0,60
452-815067,2020-01-19,AMERICAN FAMILY,223098,399.49,107.3,506.79,31.17,537.96
452-815065,2020-01-19,AMERICAN FAMILY,222703,426.57,159.1,585.67,33.27,618.94
452-815062,2020-01-19,AMERICAN FAMILY,223337,193.34,140.6,333.94,15.08,349.02
452-814002,2020-01-19,USAA,186063,336.13,396.2,732.33,26.22,758.55
452-813849,2020-01-19,PROGRESSIVE,160682,522.19,280.49,802.68,40.74,843.42
452-813555,2020-01-19,SONORAN  LAN DESIGNS ,,53.36,127.48,180.84,4.16,185
452-813554,2020-01-19,GEICO,160919,295.57,96,391.57,23.05,414.62
452-813552,2020-01-19,PROGRESSIVE,226674,968.45,263.5,1231.95,75.54,1307.49
452-813539,2020-01-19,GEICO,217350,261.12,132.01,393.13,20.36,413.49
452-813534,2020-01-19,ALLSTATE,138385,400.91,119,519.91,31.27,551.18
452-813194,2020-01-19,BRISTOL WEST,551447559,172.14,133,305.14,13.43,318.57
452-812513,2020-01-19,FARMERS,193757,787.72,160.95,948.67,61.43,1010.1
452-812507,2020-01-19,FARMERS,155277,367.79,147.9,515.69,28.69,544.38
452-812455,2020-01-19,FARMERS,155538,391.4,152.25,543.65,30.53,574.18
452-812451,2020-01-19,PROGRESSIVE,160650,621.55,263.5,885.05,48.48,933.53
452-812450,2020-01-19,GEICO,138502,428.88,120,548.88,33.46,582.34
452-812442,2020-01-19,PROGRESSIVE,062963,571.8,280.5,852.3,44.6,896.9
452-812215,2020-01-19,STATEFARM,551403454,224.82,156,380.82,17.54,398.36
452-812072,2020-01-19,USAA,183937,439.4,818.67,1258.07,34.28,1292.35
452-811790,2020-01-19,Cash Job,,123.75,181.6,305.35,9.65,315
452-811055,2020-01-19,Mercury ,551368470,297.62,100,397.62,23.21,420.83
452-810300,2020-01-19,USAA,154963,638.11,113.22,751.33,49.77,801.1
452-809624,2020-01-19,USAA,154881,394.63,768.07,1162.7,30.78,1193.48
452-809144,2020-01-19,AMERICAN FAMILY,153011,120.13,81.4,201.53,9.37,210.9
452-809135,2020-01-19,GEICO,145376,456,732,1188,35.57,1223.57
452-809133,2020-01-19,STATEFARM,551239557,228.17,152.39,380.56,17.8,398.36
452-809124,2020-01-19,USAA,898301,437.48,141.83,579.31,34.12,613.43
452-809122,2020-01-19,Hartford,120318,249.6,112,361.6,19.46,381.06
452-807784,2020-01-19,TRAVELERS,152305,1778.53,550.01,2328.54,138.72,2467.26
452-807672,2020-01-19,PROGRESSIVE,137494,988.7,263.5,1252.2,77.12,1329.32
452-818365,2020-01-21,Cash Job,,0,50,50,0,50
452-816942,2020-01-21,GEICO,270578,162.77,132.01,294.78,12.69,307.47
452-816903,2020-01-21,PROGRESSIVE,354019,596.8,280.5,877.3,46.55,923.85
452-815933,2020-01-21,TRAVELERS,280538,1495.22,662.5,2157.72,116.63,2274.35
452-815925,2020-01-21,GEICO,179462,293.28,160,453.28,22.88,476.16
452-815600,2020-01-21,LIBERTY MUTUAL,957889,839.57,142.5,982.07,65.49,1047.56
452-815094,2020-01-21,GEICO,042761,474.81,848,1322.81,37.04,1359.85
452-815084,2020-01-21,AMERICAN FAMILY,250461,346.15,107.3,453.45,26.99,480.44
452-815078,2020-01-21,NATIONAL GENERAL INSURANCE,259062,1504.25,812.5,2316.75,117.33,2434.08
452-815073,2020-01-21,AMERICAN FAMILY,250015,506.29,718.4,1224.69,39.49,1264.18
452-815024,2020-01-21,ALLSTATE,080239,163.95,115.5,279.45,12.79,292.24
452-815019,2020-01-21,PROGRESSIVE,194834,363.07,246.5,609.57,28.32,637.89
452-814970,2020-01-21,NATIONAL GENERAL INSURANCE,259197,1012.74,1352.5,2365.24,78.99,2444.23
452-814963,2020-01-21,GEICO,590328,514.98,687.66,1202.64,40.17,1242.81
452-813851,2020-01-21,ALLSTATE,217992,373.34,101.5,474.84,29.12,503.96
452-813544,2020-01-21,Encompass,218825,506.77,189.01,695.78,39.52,735.3
452-813535,2020-01-21,AMERPRISE,197996,179.44,129.51,308.95,13.99,322.94
452-812300,2020-01-21, ON YOUR SIDE,173462,1360,844,2204,106.08,2310.08
452-812071,2020-01-21,USAA,161479,134.05,125.44,259.49,10.46,269.95
452-811054,2020-01-21,STATEFARM,551224355,170.25,128.7,298.95,13.28,312.23
452-810599,2020-01-21,AUTO OWNERS ,154463,466.73,125,591.73,36.4,628.13
452-809168,2020-01-21,STATEFARM,551211741,186.79,120.9,307.69,14.57,322.26
452-809038,2020-01-21,STATEFARM,551259183,376.04,113.1,489.14,29.33,518.47
452-808003,2020-01-21,STATEFARM,551240989,468.68,159.9,628.58,36.56,665.14
452-807774,2020-01-21,USAA,137265,427.94,140,567.94,33.38,601.32
452-807733,2020-01-21,Hartford,162586,136.79,115.5,252.29,10.67,262.96
452-819969,2020-01-22,NATIONWIDE,269967,0,75,75,0,75
452-819580,2020-01-22,LIBERTY MUTUAL,284708,0,80,80,0,80
452-818490,2020-01-22,GEICO,243544,203.75,704,907.75,15.89,923.64
452-818390,2020-01-22,PROGRESSIVE,242376,654.3,212.51,866.81,51.03,917.84
452-817835,2020-01-22,GEICO,286771,351.34,156,507.34,27.4,534.74
452-817759,2020-01-22,GEICO,990236,216.17,136,352.17,16.86,369.03
452-817751,2020-01-22,GEICO,250477,1029.35,0,1029.35,80.29,1109.64
452-817742,2020-01-22,AMERICAN FAMILY,307500,891.3,792.4,1683.7,69.52,1753.22
452-817102,2020-01-22,PROGRESSIVE,244980,462.2,331.5,793.7,36.05,829.75
452-816945,2020-01-22,NATIONWIDE,276220,463.78,132,595.78,36.17,631.95
452-816932,2020-01-22,GEICO,232320,261.12,132.01,393.13,20.36,413.49
452-816901,2020-01-22,BADGER MUTUAL,120550,319.76,156,475.76,24.94,500.7
452-815950,2020-01-22,GEICO,266034,580.88,256,836.88,45.31,882.19
452-815929,2020-01-22,TRAVELERS,278285,1725.5,637.5,2363,134.59,2497.59
452-815927,2020-01-22,ALLSTATE,243313,268.16,115.51,383.67,20.91,404.58
452-815069,2020-01-22,AMERICAN FAMILY,249024,219.14,85.09,304.23,17.1,321.33
452-813558,2020-01-22,MIRANDA NEUMUELLER,,46.2,115.2,161.4,3.6,165
452-812310,2020-01-22,GEICO,189012,275.78,198,473.78,21.51,495.29
452-811050,2020-01-22,GAINS CO,,60.59,159.68,220.27,4.73,225
452-809622,2020-01-22,GEICO,154555,462.02,208,670.02,36.04,706.06
452-807821,2020-01-22,PEKIN,154129,700.87,232,932.87,54.67,987.54
452-805241,2020-01-22,STATEFARM,551112573,511.86,489.11,1000.97,39.92,1040.89
452-794439,2020-01-22,STATEFARM,550578552,575.27,344.3,919.57,44.87,964.44
452-822090,2020-01-24,STATEFARM,03-C282-9-B-3,419.71,100,519.71,32.74,552.45
452-819843,2020-01-24,FARMERS,249357,504.91,130.5,635.41,39.38,674.79
452-819571,2020-01-24,USAA,280996,467.86,744.9,1212.76,36.49,1249.25
452-819257,2020-01-24,Hartford,093035,359,105,464,28,492
452-818548,2020-01-24,GEICO,285657,275.77,143.93,419.7,21.51,441.21
452-818195,2020-01-24,PROGRESSIVE,305134,851.73,255,1106.73,66.43,1173.16
452-818176,2020-01-24,Cash Job,,138.6,275.59,414.19,10.81,425
452-817766,2020-01-24,SAFECO,268872,453.22,235.09,688.31,35.34,723.65
452-816957,2020-01-24,STATEFARM,551554819,0,0,0,0,0
452-816947,2020-01-24,AMERICAN FAMILY,285895,442.99,103.6,546.59,34.55,581.14
452-816939,2020-01-24,PROGRESSIVE,275714,485.97,263.5,749.47,37.91,787.38
452-815934,2020-01-24,STATEFARM,551538317,0,0,0,0,0
452-815931,2020-01-24,RICARDO HARRISON,,78.1,140.81,218.91,6.09,225
